#不需要恢复还原的应用请在开头使用#注释 比如：#酷安 com.coolapk.market
APatch me.bmax.apatch
AppShare info.muge.appshare
AuroraStore com.aurora.store
ClashMetaforAndroid com.github.metacubex.clash.meta
LocalSend org.localsend.localsend_app
Luna luna.safe.luna
MT管理器 bin.mt.plus
MT终端扩展包 bin.mt.termex
Momo io.github.vvb2060.mahoshojo
NativeTest++ icu.nullptr.nativetest
Via mark.via
io.github.a13e300.tricky_store io.github.a13e300.tricky_store
哔哩哔哩 tv.danmaku.bili
密钥认证 io.github.vvb2060.keyattestation
小红书 com.xingin.xhs
微信 com.tencent.mm
快手 com.smile.gifmaker
拼多多 com.xunmeng.pinduoduo
汽水音乐 com.luna.music
浏览器 com.android.browser
豆包 com.larus.nova
酷安 com.coolapk.market
闲鱼 com.taobao.idlefish
